abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless,total_stats,offense_defense_ratio,predicted_legendary
"Sturdy, Rock Head, Rattled",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,410,65,Imitation Pokémon,115,1000000,1.2,70,Usokkieウソッキー,Sudowoodo,50,185,30,65,30,Rock,None,38,2,FALSE,FALSE,410,0.8695652173913043,4.111869313468161e-4
"Water Absorb, Damp, Drizzle",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,500,45,Frog Pokémon,75,1059860,1.1,90,Nyorotonoニョロトノ,Politoed,50,186,90,100,70,Water,None,33.9,2,FALSE,FALSE,500,1,0.005386503511986439
"Chlorophyll, Leaf Guard, Infiltrator",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,250,255,Cottonweed Pokémon,40,1059860,0.4,35,Haneccoハネッコ,Hoppip,50,187,35,55,50,Grass,Flying,0.5,2,FALSE,FALSE,250,0.875,1.5996692693881517e-6
"Chlorophyll, Leaf Guard, Infiltrator",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,Cottonweed Pokémon,50,1059860,0.6,55,Popoccoポポッコ,Skiploom,50,188,45,65,80,Grass,Flying,1,2,FALSE,FALSE,340,0.9,3.36832417397048e-5
"Chlorophyll, Leaf Guard, Infiltrator",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,460,45,Cottonweed Pokémon,70,1059860,0.8,75,Wataccoワタッコ,Jumpluff,50,189,55,95,110,Grass,Flying,3,2,FALSE,FALSE,460,0.7857142857142857,0.0019548293942580506
"Run Away, Pickup, Skill Link",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,Long Tail Pokémon,55,800000,0.8,55,Eipamエイパム,Aipom,50,190,40,55,85,Normal,None,11.5,2,FALSE,FALSE,360,1.2727272727272727,1.872082367550257e-5
"Chlorophyll, Solar Power, Early Bird",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,Seed Pokémon,30,1059860,0.3,30,Himanutsヒマナッツ,Sunkern,50,191,30,30,30,Grass,None,1.8,2,FALSE,FALSE,180,1,1.4952767345243266e-7
"Chlorophyll, Solar Power, Early Bird",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,425,120,Sun Pokémon,55,1059860,0.8,75,Kimawariキマワリ,Sunflora,50,192,105,85,30,Grass,None,8.5,2,FALSE,FALSE,425,1.3636363636363635,5.984722867344479e-4
"Speed Boost, Compoundeyes, Frisk",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,390,75,Clear Wing Pokémon,45,1000000,1.2,65,Yanyanmaヤンヤンマ,Yanma,50,193,75,45,95,Bug,Flying,38,2,FALSE,FALSE,390,1.4444444444444444,1.5840038848028738e-4
"Damp, Water Absorb, Unaware",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,Water Fish Pokémon,45,1000000,0.4,55,Upahウパー,Wooper,50,194,25,25,15,Water,Ground,8.5,2,FALSE,FALSE,210,1,2.9469398364851314e-7
"Damp, Water Absorb, Unaware",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,Water Fish Pokémon,85,1000000,1.4,95,Nuohヌオー,Quagsire,50,195,65,65,35,Water,Ground,75,2,FALSE,FALSE,430,1,5.059685801374793e-4
"Synchronize, Magic Bounce",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,Sun Pokémon,60,1000000,0.9,65,Eifieエーフィ,Espeon,88.1,196,130,95,110,Psychic,None,26.5,2,FALSE,FALSE,525,1.0833333333333333,0.17600521453015525
"Synchronize, Inner Focus",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,Moonlight Pokémon,110,1000000,1,95,Blackyブラッキー,Umbreon,88.1,197,60,130,65,Dark,None,27,2,FALSE,FALSE,525,0.5909090909090909,0.0197284480380907
"Insomnia, Super Luck, Prankster",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,Darkness Pokémon,42,1059860,0.5,60,Yamikarasuヤミカラス,Murkrow,50,198,85,42,91,Dark,Flying,2.1,2,FALSE,FALSE,405,2.0238095238095237,3.459920198611031e-4
"Oblivious, Own Tempo, Regenerator",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,Royal Pokémon,80,1000000,2,95,Yadokingヤドキング,Slowking,50,199,100,110,30,Water,Psychic,79.5,2,FALSE,FALSE,490,0.9375,0.0038453439265138775
Levitate,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,Mumaムウマ,Misdreavus,50,200,85,85,85,Ghost,None,1,2,FALSE,FALSE,435,1,2.7586353825275855e-4
Levitate,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,Unknownアンノーン,Unown,NA,201,72,48,48,Psychic,None,5,2,FALSE,TRUE,336,1.5,3.5506825840229793e-4
"Shadow Tag, Telepathy",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,Sonansソーナンス,Wobbuffet,50,202,33,58,33,Psychic,None,28.5,2,FALSE,FALSE,405,0.5689655172413793,0.003659978169056758
"Inner Focus, Early Bird, Sap Sipper",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,Kirinrikiキリンリキ,Girafarig,50,203,90,65,85,Normal,Psychic,41.5,2,FALSE,FALSE,455,1.2307692307692308,4.6671316220022754e-4
"Sturdy, Overcoat",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,Kunugidamaクヌギダマ,Pineco,50,204,35,35,15,Bug,None,7.2,2,FALSE,FALSE,290,0.7222222222222222,5.36266808304407e-6
"Sturdy, Overcoat",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,Foretosフォレトス,Forretress,50,205,60,60,40,Bug,Steel,125.8,2,FALSE,FALSE,465,0.6428571428571429,0.002003481846249018
"Serene Grace, Run Away, Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,Nokocchiノコッチ,Dunsparce,50,206,65,65,45,Normal,None,14,2,FALSE,FALSE,415,1,1.2051017849841493e-4
"Hyper Cutter, Sand Veil, Immunity",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,Gligerグライガー,Gligar,50,207,35,65,85,Ground,Flying,64.8,2,FALSE,FALSE,430,0.7142857142857143,7.446619098033889e-4
"Rock Head, Sturdy, Sheer Force",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,Haganeilハガネール,Steelix,50,208,55,95,30,Steel,Ground,400,2,FALSE,FALSE,610,0.5434782608695652,0.46030342768127847
"Intimidate, Run Away, Rattled",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,Fairy Pokémon,50,800000,0.6,60,Buluブルー,Snubbull,24.6,209,40,40,30,Fairy,None,7.8,2,FALSE,FALSE,300,1.6,5.86683823694856e-6
"Intimidate, Quick Feet, Rattled",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,Fairy Pokémon,75,800000,1.4,90,Granbuluグランブル,Granbull,24.6,210,60,60,45,Fairy,None,48.7,2,FALSE,FALSE,450,1.6,9.411534142593053e-4
"Poison Point, Swift Swim, Intimidate",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,Qwilfish,50,211,55,55,85,Water,Poison,3.9,2,FALSE,FALSE,440,1.1176470588235294,7.097071681185131e-4
"Swarm, Technician, Light Metal",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,Hassamハッサム,Scizor,50,212,65,100,75,Bug,Steel,118,2,FALSE,FALSE,600,1.0714285714285714,0.16246373328466251
"Sturdy, Gluttony, Contrary",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,Tsubotsuboツボツボ,Shuckle,50,213,10,230,5,Bug,Rock,20.5,2,FALSE,FALSE,505,0.043478260869565216,0.00771735535681052
"Swarm, Guts, Moxie",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,Heracrosヘラクロス,Heracross,50,214,40,105,75,Bug,Fighting,54,2,FALSE,FALSE,600,1.608695652173913,0.16246373328466251
"Inner Focus, Keen Eye, Pickpocket",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,Nyulaニューラ,Sneasel,50,215,35,75,115,Dark,Ice,28,2,FALSE,FALSE,430,1.7272727272727273,8.062626141427263e-4
"Pickup, Quick Feet, Honey Gather",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,Himegumaヒメグマ,Teddiursa,50,216,50,50,40,Normal,None,8.8,2,FALSE,FALSE,330,1.6,6.7794989974945196e-6
"Guts, Quick Feet, Unnerve",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,Ringumaリングマ,Ursaring,50,217,75,75,55,Normal,None,125.8,2,FALSE,FALSE,500,1.7333333333333334,0.002138070631320284
"Magma Armor, Flame Body, Weak Armor",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,Magmagマグマッグ,Slugma,50,218,70,40,20,Fire,None,35,2,FALSE,FALSE,250,1,3.26373633955456e-6
"Magma Armor, Flame Body, Weak Armor",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,Magcargotマグカルゴ,Magcargo,50,219,90,80,30,Fire,Rock,55,2,FALSE,FALSE,430,0.4166666666666667,0.0014450526835774336
"Oblivious, Snow Cloak, Thick Fat",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,Urimooウリムー,Swinub,50,220,30,30,50,Ice,Ground,6.5,2,FALSE,FALSE,250,1.25,6.993524268538324e-6
"Oblivious, Snow Cloak, Thick Fat",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,5120,70,450,75,Swine Pokémon,80,1250000,1.1,100,Inomooイノムー,Piloswine,50,221,60,60,50,Ice,Ground,55.8,2,FALSE,FALSE,450,1.25,0.006066525511377075
"Hustle, Natural Cure, Regenerator",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,Coral Pokémon,95,800000,0.6,65,Sunnygoサニーゴ,Corsola,24.6,222,65,95,35,Water,Rock,5,2,FALSE,FALSE,410,0.5789473684210527,2.5712440684044286e-4
"Hustle, Sniper, Moody",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,Jet Pokémon,35,1000000,0.6,35,Teppouoテッポウオ,Remoraid,50,223,65,35,65,Water,None,12,2,FALSE,FALSE,300,1.8571428571428572,6.205350498460643e-6
"Suction Cups, Sniper, Moody",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,480,75,Jet Pokémon,75,1000000,0.9,75,Okutankオクタン,Octillery,50,224,105,75,45,Water,None,28.5,2,FALSE,FALSE,480,1.4,0.002743916774241511
"Vital Spirit, Hustle, Insomnia",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,Delivery Pokémon,45,800000,0.9,45,Delibirdデリバード,Delibird,50,225,65,45,75,Ice,Flying,16,2,FALSE,FALSE,330,1.2222222222222223,1.0495592833350451e-4
"Swift Swim, Water Absorb, Water Veil",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,Mantine,50,226,80,140,70,Water,Flying,220,2,FALSE,FALSE,485,0.5714285714285714,0.003248428105650945
"Keen Eye, Sturdy, Weak Armor",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,6400,70,465,25,Armor Bird Pokémon,140,1250000,1.7,65,Airmdエアームド,Skarmory,50,227,40,70,70,Steel,Flying,50.5,2,FALSE,FALSE,465,0.5714285714285714,0.006252160892181389
"Early Bird, Flash Fire, Unnerve",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,5120,35,330,120,Dark Pokémon,30,1250000,0.6,45,Delvilデルビル,Houndour,50,228,80,50,65,Dark,Fire,10.8,2,FALSE,FALSE,330,2,2.731323637002065e-5
"Early Bird, Flash Fire, Unnerve",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,5120,35,600,45,Dark Pokémon,90,1250000,1.4,75,Hellgarヘルガー,Houndoom,50,229,140,90,115,Dark,Fire,35,2,FALSE,FALSE,600,1,0.2032013011194638
"Swift Swim, Sniper, Damp",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,5120,70,540,45,Dragon Pokémon,95,1000000,1.8,75,Kingdraキングドラ,Kingdra,50,230,95,95,85,Water,Dragon,152,2,FALSE,FALSE,540,1,0.020549988925307086
"Pickup, Sand Veil",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,Long Nose Pokémon,60,1000000,0.5,90,Gomazouゴマゾウ,Phanpy,50,231,40,40,40,Ground,None,33.5,2,FALSE,FALSE,330,1,2.522492676229521e-5
"Sturdy, Sand Veil",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,Armor Pokémon,120,1000000,1.1,90,Donfanドンファン,Donphan,50,232,60,60,50,Ground,None,120,2,FALSE,FALSE,500,1,0.007909394825386953
"Trace, Download, Analytic",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,515,45,Virtual Pokémon,90,1000000,0.6,85,Porygon2ポリゴン２,Porygon2,NA,233,105,95,60,Normal,None,32.5,2,FALSE,TRUE,515,0.8888888888888888,0.0035479237681412647
"Intimidate, Frisk, Sap Sipper",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,5120,70,465,45,Big Horn Pokémon,62,1250000,1.4,73,Odoshishiオドシシ,Stantler,50,234,85,65,85,Normal,None,71.2,2,FALSE,FALSE,465,1.532258064516129,6.546551073552983e-4
"Own Tempo, Technician, Moody",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,Painter Pokémon,35,800000,1.2,55,Dobleドーブル,Smeargle,50,235,20,45,75,Normal,None,58,2,FALSE,FALSE,250,0.5714285714285714,4.5169669618997655e-7
"Guts, Steadfast, Vital Spirit",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,Scuffle Pokémon,35,1000000,0.7,35,Balkieバルキー,Tyrogue,100,236,35,35,35,Fighting,None,21,2,FALSE,FALSE,210,1,2.2204460492503126e-16
"Intimidate, Technician, Steadfast",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,Hitmontop,100,237,35,110,70,Fighting,None,48,2,FALSE,FALSE,455,1,1.5254565579973808e-10
"Oblivious, Forewarn, Hydration",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,30,6400,70,305,45,Kiss Pokémon,15,1000000,0.4,45,Muchulムチュール,Smoochum,0,238,85,65,65,Ice,Psychic,6,2,FALSE,FALSE,305,2,4.5021769163425295e-5
"Static, Vital Spirit",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,63,6400,70,360,45,Electric Pokémon,37,1000000,0.6,45,Elekidエレキッド,Elekid,75.4,239,65,55,95,Electric,None,23.5,2,FALSE,FALSE,360,1.7027027027027026,2.6636687758362494e-4
"Flame Body, Vital Spirit",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,6400,70,365,45,Live Coal Pokémon,37,1000000,0.7,45,Bubyブビィ,Magby,75.4,240,70,55,83,Fire,None,21.4,2,FALSE,FALSE,365,2.027027027027027,1.6019721766182056e-4
"Thick Fat, Scrappy, Sap Sipper",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,490,45,Milk Cow Pokémon,105,1250000,1.2,95,Miltankミルタンク,Miltank,0,241,40,70,100,Normal,None,75.5,2,FALSE,FALSE,490,0.7619047619047619,0.0015249115326082926
"Natural Cure, Serene Grace, Healer",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,Happiness Pokémon,10,800000,1.5,255,Happinasハピナス,Blissey,0,242,75,135,55,Normal,None,46.8,2,FALSE,FALSE,540,1,0.008232621165812472
"Pressure, Inner Focus",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,NA,243,115,100,115,Electric,None,178,2,TRUE,TRUE,580,1.1333333333333333,0.3139813168208677
"Pressure, Inner Focus",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,NA,244,90,75,100,Fire,None,198,2,TRUE,TRUE,580,1.3529411764705883,0.1885533931308689
"Pressure, Inner Focus",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2,100,Suicuneスイクン,Suicune,NA,245,90,115,85,Water,None,187,2,TRUE,TRUE,580,0.6521739130434783,0.0751737447127083
"Guts, Sand Veil",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,64,10240,35,300,45,Rock Skin Pokémon,50,1250000,0.6,50,Yogirasヨーギラス,Larvitar,50,246,45,50,41,Rock,Ground,72,2,FALSE,FALSE,300,1.28,9.924934119722173e-6
Shed Skin,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,84,10240,35,410,45,Hard Shell Pokémon,70,1250000,1.2,70,Sanagirasサナギラス,Pupitar,50,247,65,70,51,Rock,Ground,152,2,FALSE,FALSE,410,1.2,4.111869313468161e-4
"Sand Stream, Unnerve",2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,164,10240,35,700,45,Armor Pokémon,150,1250000,2,100,Bangirasバンギラス,Tyranitar,50,248,95,120,71,Rock,Dark,202,2,FALSE,FALSE,700,1.0933333333333333,0.883172182449218
"Pressure, Multiscale",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,NA,249,90,154,110,Psychic,Flying,216,2,TRUE,TRUE,680,0.6923076923076923,0.9759755698599951
"Pressure, Regenerator",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,NA,250,110,154,90,Fire,Flying,199,2,TRUE,TRUE,680,1.4444444444444444,0.8728481972508231
Natural Cure,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,NA,251,100,100,100,Psychic,Grass,5,2,TRUE,TRUE,600,1,0.7302147578610038
"Overgrow, Unburden",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,310,45,Wood Gecko Pokémon,35,1059860,0.5,40,Kimoriキモリ,Treecko,88.1,252,65,55,70,Grass,None,5,3,FALSE,FALSE,310,1.2857142857142858,7.85000645788464e-6
"Overgrow, Unburden",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,5120,70,405,45,Wood Gecko Pokémon,45,1059860,0.9,50,Juptileジュプトル,Grovyle,88.1,253,85,65,95,Grass,None,21.6,3,FALSE,FALSE,405,1.4444444444444444,1.957528548640224e-4
"Overgrow, Unburden",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,5120,70,630,45,Forest Pokémon,75,1059860,1.7,70,Jukainジュカイン,Sceptile,88.1,254,145,85,145,Grass,None,52.2,3,FALSE,FALSE,630,1.4666666666666666,0.2848819357621996
"Blaze, Speed Boost",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5120,70,310,45,Chick Pokémon,40,1059860,0.4,45,Achamoアチャモ,Torchic,88.1,255,70,50,45,Fire,None,2.5,3,FALSE,FALSE,310,1.5,1.6015926073604857e-5
"Blaze, Speed Boost",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,Young Fowl Pokémon,60,1059860,0.9,60,Wakasyamoワカシャモ,Combusken,88.1,256,85,60,55,Fire,Fighting,19.5,3,FALSE,FALSE,405,1.4166666666666667,3.993054744685744e-4
"Blaze, Speed Boost",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,Blaze Pokémon,80,1059860,1.9,80,Bursyamoバシャーモ,Blaziken,88.1,257,130,80,100,Fire,Fighting,52,3,FALSE,FALSE,630,2,0.4483609341482183
"Torrent, Damp",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,5120,70,310,45,Mud Fish Pokémon,50,1059860,0.4,50,Mizugorouミズゴロウ,Mudkip,88.1,258,50,50,40,Water,None,7.6,3,FALSE,FALSE,310,1.4,5.602581831009307e-6
"Torrent, Damp",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,405,45,Mud Fish Pokémon,70,1059860,0.7,70,Numacrawヌマクロー,Marshtomp,88.1,259,60,70,50,Water,Ground,28,3,FALSE,FALSE,405,1.2142857142857142,1.397171322814714e-4
"Torrent, Damp",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,150,5120,70,635,45,Mud Fish Pokémon,110,1059860,1.5,100,Laglargeラグラージ,Swampert,88.1,260,95,110,70,Water,Ground,81.9,3,FALSE,FALSE,635,1.3636363636363635,0.25192514978893527
"Run Away, Quick Feet, Rattled",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,55,3840,70,220,255,Bite Pokémon,35,1000000,0.5,35,Pochienaポチエナ,Poochyena,50,261,30,30,35,Dark,None,13.6,3,FALSE,FALSE,220,1.5714285714285714,4.241078572817112e-7
"Intimidate, Quick Feet, Moxie",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,3840,70,420,127,Bite Pokémon,70,1000000,1,70,Graenaグラエナ,Mightyena,50,262,60,60,70,Dark,None,37,3,FALSE,FALSE,420,1.2857142857142858,3.6999799636761477e-4
"Pickup, Gluttony, Quick Feet",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,3840,70,240,255,Tiny Racoon Pokémon,41,1000000,0.4,38,Jiguzagumaジグザグマ,Zigzagoon,50,263,30,41,60,Normal,None,17.5,3,FALSE,FALSE,240,0.7317073170731707,2.0719548685809788e-7
"Pickup, Gluttony, Quick Feet",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,3840,70,420,90,Rush Pokémon,61,1000000,0.5,78,Massugumaマッスグマ,Linoone,50,264,50,61,100,Normal,None,32.5,3,FALSE,FALSE,420,1.1475409836065573,9.186196117097244e-5
"Shield Dust, Run Away",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Kemussoケムッソ,Wurmple,50,265,20,30,20,Bug,None,3.6,3,FALSE,FALSE,195,1.2857142857142858,1.383696788493542e-7
Shed Skin,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.6,50,Karasalisカラサリス,Silcoon,50,266,25,25,15,Bug,None,10,3,FALSE,FALSE,205,0.6363636363636364,1.941266178291041e-7
"Swarm, Rivalry",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,3840,70,395,45,Butterfly Pokémon,50,1000000,1,60,Agehuntアゲハント,Beautifly,50,267,100,50,65,Bug,Flying,28.4,3,FALSE,FALSE,395,1.4,1.2074582911729459e-4
Shed Skin,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Mayuldマユルド,Cascoon,50,268,25,25,15,Bug,None,11.5,3,FALSE,FALSE,205,0.6363636363636364,1.941266178291041e-7
"Shield Dust, Compoundeyes",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,385,45,Poison Moth Pokémon,70,1000000,1.2,60,Dokucaleドクケイル,Dustox,50,269,50,90,65,Bug,Poison,31.6,3,FALSE,FALSE,385,0.7142857142857143,8.606825947006219e-5
